alias,lugar
complejo hospitalario dr luis razetti,Complejo Hospitalario Dr. Luis Razetti
hospital general dr jose ignacio baldo el algodonal,Hospital General Dr. Jose Ignacio Baldo (El Algodonal)
hospital general jose ignacio baldo,Hospital General Dr. Jose Ignacio Baldo (El Algodonal)
el algodonal,Hospital General Dr. Jose Ignacio Baldo (El Algodonal)
hospital dr leopoldo manrique terrero periferico de coche,Hospital Dr. Leopoldo Manrique Terrero (Periferico de Coche)
hospital leopoldo manrique terrero,Hospital Dr. Leopoldo Manrique Terrero (Periferico de Coche)
periferico de coche,Hospital Dr. Leopoldo Manrique Terrero (Periferico de Coche)
hospital general dr jesus yerena de lidice,Hospital General Dr. Jesus Yerena de Lidice
hospital general jesus yerena de lidice,Hospital General Dr. Jesus Yerena de Lidice
hospital dr miguel perez carreno,Hospital Dr. Miguel Perez Carreno
hospital miguel perez carreno,Hospital Dr. Miguel Perez Carreno
hospital jose maria vargas hospital vargas de caracas,Hospital Jose Maria Vargas (Hospital Vargas de Caracas)
hospital vargas de caracas,Hospital Jose Maria Vargas (Hospital Vargas de Caracas)
hospital medico quirurgico dr ricardo baquero gonzalez periferico de catia,Hospital Medico Quirurgico Dr. Ricardo Baquero Gonzalez (Periferico de Catia)
hospital medico quirurgico ricardo baquero gonzalez,Hospital Medico Quirurgico Dr. Ricardo Baquero Gonzalez (Periferico de Catia)
periferico de catia,Hospital Medico Quirurgico Dr. Ricardo Baquero Gonzalez (Periferico de Catia)
hospital general del oeste dr jose gregorio hernandez magallanes de catia,Hospital General del Oeste Dr. Jose Gregorio Hernandez (Magallanes de Catia)
hospital general del oeste jose gregorio hernandez,Hospital General del Oeste Dr. Jose Gregorio Hernandez (Magallanes de Catia)
magallanes de catia,Hospital General del Oeste Dr. Jose Gregorio Hernandez (Magallanes de Catia)
hospital universitario dr alfredo van grieken,Hospital Universitario Dr. Alfredo Van Grieken
hospital universitario alfredo van grieken,Hospital Universitario Dr. Alfredo Van Grieken
hospital dr israel ranuarez balza,Hospital Dr. Israel Ranuarez Balza
hospital israel ranuarez balza,Hospital Dr. Israel Ranuarez Balza
hospital simon bolivar de valle de la pascua,Hospital Simon Bolivar de Valle de la Pascua
hospital dr francisco urdaneta delgado,Hospital Dr. Francisco Urdaneta Delgado
hospital francisco urdaneta delgado,Hospital Dr. Francisco Urdaneta Delgado
cdi guaracarumbo,CDI Guaracarumbo
hospital dr jose maria vargas ivss,Hospital Dr. Jose Maria Vargas (IVSS)
hospital jose maria vargas ivss,Hospital Dr. Jose Maria Vargas (IVSS)
hospital general dr armando velasquez mago,Hospital General Dr. Armando Velasquez Mago
hospital general armando velasquez mago,Hospital General Dr. Armando Velasquez Mago
cdi san jacinto,CDI San Jacinto
instituto autonomo hospital universitario de los andes iahula,Instituto Autonomo Hospital Universitario de Los Andes (IAHULA)
instituto autonomo hospital universitario de los andes,Instituto Autonomo Hospital Universitario de Los Andes (IAHULA)
iahula,Instituto Autonomo Hospital Universitario de Los Andes (IAHULA)
hospital hugo chavez frias de el vigia,Hospital Hugo Chavez Frias de El Vigia
hospital victorino santaella,Hospital Victorino Santaella
hospital general simon bolivar,Hospital General Simon Bolivar
hospital dr eugenio p d bellard,Hospital Dr. Eugenio P. D. Bellard
hospital eugenio p d bellard,Hospital Dr. Eugenio P. D. Bellard
hospital domingo luciani,Hospital Domingo Luciani
hospital ana francisca perez de leon ii,Hospital Ana Francisca Perez de Leon II
hospital general de higuerote,Hospital General de Higuerote
hospital universitario dr manuel nunez tovar,Hospital Universitario Dr. Manuel Nunez Tovar
hospital universitario manuel nunez tovar,Hospital Universitario Dr. Manuel Nunez Tovar
cdi valle verde,CDI Valle Verde
hospital dr luis ortega,Hospital Dr. Luis Ortega
hospital luis ortega,Hospital Dr. Luis Ortega
hospital universitario dr jesus maria casal ramos,Hospital Universitario Dr. Jesus Maria Casal Ramos
hospital universitario jesus maria casal ramos,Hospital Universitario Dr. Jesus Maria Casal Ramos
hospital dr miguel oraa,Hospital Dr. Miguel Oraa
hospital miguel oraa,Hospital Dr. Miguel Oraa
hospital universitario antonio patricio de alcala,Hospital Universitario Antonio Patricio de Alcala
hospital central de san cristobal,Hospital Central de San Cristobal
hospital universitario dr pedro emilio carrillo,Hospital Universitario Dr. Pedro Emilio Carrillo
hospital universitario pedro emilio carrillo,Hospital Universitario Dr. Pedro Emilio Carrillo
hospital central dr placido daniel rodriguez rivero,Hospital Central Dr. Placido Daniel Rodriguez Rivero
hospital central placido daniel rodriguez rivero,Hospital Central Dr. Placido Daniel Rodriguez Rivero
hospital universitario de maracaibo,Hospital Universitario de Maracaibo
hospital santa barbara,Hospital Santa Barbara
cua,Cúa
maracay,Maracay
valencia,Valencia
barquisimeto,Barquisimeto
maracaibo,Maracaibo
barcelona,Barcelona
puerto la cruz,Puerto La Cruz
ciudad bolivar,Ciudad Bolívar
puerto ordaz,Puerto Ordaz
san cristobal,San Cristóbal
merida,Mérida
san fernando de apure,San Fernando de Apure
guanare,Guanare
acarigua,Acarigua
coro,Coro
punto fijo,Punto Fijo
cumana,Cumaná
maturin,Maturín
tucupita,Tucupita
porlamar,Porlamar
junquito, Junquito
el peaje, El Peaje
